market,asin,parent,name,rev30,units30,price
US,B0CXKPY6B8,,Headlight Restoration Pro Kit 10 Bundle,1757.25,15,119.95
US,B0DH5ZC1N4,,Foam Applicator Pads 3 Pack,1705.4,191,8.95
US,B0CN8MFBLH,,Professional Ceramic Coating for Cars 360 ml Kit,1594.85,3,549.95
US,B0H3QLBNZF,B0HF6JLTTZ,Pro PPF and Vinyl 60 ml Kit,1482.85,13,114.95
US,B0H1NDSGVJ,B0F7CLSLCC,Rapid Ceramic Interior Detailer 32 oz,1025.5,49,20.95
US,B0F2JBJXYJ,B0H7WGD8YY,Rapid Ceramic Aircraft Coating 14 oz,920.77,34,27.95
US,B0F2JL4F2W,B0HF1D67G1,Ceramic Car Wash Kit 7 Piece,851.4,12,70.95
US,B0F8JJM54R,,Clay Prep Mitt,825.7,50,17.95
US,B0F3GD9G6N,B0HF1D67G1,Car Detailing Bundle Fully Covered 8 Piece,683.7,6,113.95
US,B0GZSHD4GP,,Glass Cleaner 16 oz,658.35,55,11.97
US,B0H1SP98C3,B0H1T7P4WX,Rapid Ceramic PPF and Vinyl 32 oz,597.25,15,39.95
US,B0HCR5GFYG,,Professional Ceramic Coating for RVs 360 ml Kit,517.28,1,517.28
US,B0F3G9BC3G,B0HF1D67G1,Ceramic Car Wash and Detailing Kit 5 Piece,384.65,7,54.95
US,B0F2BFSMZT,B0HF1D67G1,Ceramic Coating Kit for Cars 5 Piece,289.9,2,144.95
US,B0H51RDY69,B0HF6JLTTZ,Aircraft Ceramic Coating 60 ml Kit,272.9,2,139.95
CA,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,138492.8,4418,33.71
CA,B07SHJVK4G,,Ceramic Trim Coat Kit,32505.44,1152,31.18
CA,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,17486.33,799,21.95
CA,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,14592.59,502,29.86
CA,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,9805.47,428,22.95
CA,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,2201,92,23.95
CA,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,1128.15,54,20.95
CA,B0DJMW6283,,Microfiber Towels 12 Pack,830.44,52,15.97
CA,B0H3QRH9B7,,Marine Ceramic Coating 60 ml Kit,186.36,1,184.82
CA,B0H1NM7467,,Rapid Ceramic Plastic Restorer 32 oz,174.82,4,43.9
CA,B0F8JJM54R,,Clay Prep Mitt,89.27,3,30.32
CA,B0H1NP4461,,Rapid Ceramic PPF and Vinyl 14 oz,38.33,1,37.35
CA,B0GT6FZRL1,,Headlight Repair Kit,4.75,1,5
UK,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,78838.16,4395,17.95
UK,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,10846.1,778,13.95
UK,B07SHJVK4G,,Ceramic Trim Coat Kit,5358.72,316,16.95
UK,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,3738.83,198,18.95
UK,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,3539.55,237,14.95
UK,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,1492.51,100,14.95
UK,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,1242.8,104,11.95
UK,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,1105.95,101,10.95
UK,B0CN8HJSYM,,Pro Paint 60 ml Kit,764.55,9,84.95
UK,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,468.89,37,12.95
UK,B0DJMW6283,,Microfiber Towels 12 Pack,348.25,35,9.95
DE,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,6860.56,431,15.95
DE,B07SHJVK4G,,Ceramic Trim Coat Kit,6152.6,324,18.95
DE,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,2014.5,101,19.95
DE,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,457.9,31,14.7
DE,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,453.7,38,11.95
DE,B0CN8HJSYM,,Pro Paint 60 ml Kit,350.65,3,114.95
DE,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,253.11,22,11.44
DE,B0DJMW6283,,Microfiber Towels 12 Pack,135.36,14,9.78
DE,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,110.04,7,15.68
DE,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,41.93,3,13.74
FR,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,26829.12,1172,22.95
FR,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,2081.8,111,18.95
FR,B07SHJVK4G,,Ceramic Trim Coat Kit,1775.79,82,21.95
FR,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,239.5,10,23.95
FR,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,137.17,10,13.95
FR,B0DJMW6283,,Microfiber Towels 12 Pack,135.29,14,9.78
FR,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,134.55,9,14.95
FR,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,84.75,5,16.95
FR,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,56.85,3,18.95
FR,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,36.57,2,19.95
IT,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,5973.88,261,22.95
IT,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,1438.19,63,22.95
IT,B07SHJVK4G,,Ceramic Trim Coat Kit,680.45,31,21.95
IT,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,190.64,14,13.95
IT,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,176.51,10,17.95
IT,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,71.8,4,17.95
IT,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,67.8,4,16.95
IT,B0DJMW6283,,Microfiber Towels 12 Pack,51.8,4,12.95
IT,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,51.8,4,12.95
IT,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,18.95,1,18.95
ES,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,10915.32,498,21.95
ES,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,1904.82,83,22.95
ES,B07SHJVK4G,,Ceramic Trim Coat Kit,1659.12,84,19.95
ES,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,844.36,50,16.95
ES,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,461.89,26,17.95
ES,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,153.87,12,12.95
ES,B0DJMW6283,,Microfiber Towels 12 Pack,48.2,4,11.95
ES,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,38.85,3,12.95
ES,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,35.9,2,17.95
ES,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,15.95,1,15.95
NL,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,4483.3,214,20.95
NL,B07SHJVK4G,,Ceramic Trim Coat Kit,1795.5,90,19.95
NL,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,406.8,24,16.95
NL,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,220.35,13,16.95
NL,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,194.25,15,12.95
NL,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,146.65,7,20.95
NL,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,77.7,6,12.95
NL,B0DJMW6283,,Microfiber Towels 12 Pack,35.85,3,11.95
NL,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,17.95,1,17.95
AU,B084RQKLV8,,Headlight Restoration Kit 10 Wipe,43894.2,1292,33.95
AU,B07SHJVK4G,,Ceramic Trim Coat Kit,8698.8,264,32.95
AU,B0F45C2YHV,,Rapid Ceramic Tire Coat 10 oz,3633.5,130,27.95
AU,B0B94G13CN,,Rapid Ceramic Paint Sealant 14 oz,2274.65,67,33.95
AU,B0FYRJ1966,,Rapid Ceramic Plastic Restorer 14 oz,2012.4,72,27.95
AU,B0CQN1RXYB,,Ceramic Glass Coat 4 Wipes,1163.35,53,21.95
AU,B0DVB4P9KQ,,High Foam Vehicle Shampoo 16 oz,614.9,22,27.95
AU,B0DKVZRX69,,Rapid Ceramic Interior Detailer 14 oz,570.7,26,21.95
AU,B0FW6WFX4D,,Rapid Ceramic Wheel Sealant 14 oz,539.1,18,29.95
AU,B0DJMW6283,,Microfiber Towels 12 Pack,314.25,15,20.95
AU,B0CN8HJSYM,,Pro Paint 60 ml Kit,179.95,1,179.95
